timestamp,user_id,note
2026-09-03T11:53:19,101,"A/B session, 31 stimuli"
2026-09-03T12:07:04,101,"A/B session, 31 stimuli"
2026-09-07T16:11:10,103,"A/B session, 31 stimuli"
2026-09-07T16:18:29,105,"A/B session, 5 stimuli"
2026-09-07T22:05:53,111,"A/B session, 5 stimuli"
2026-09-07T22:10:47,112,"A/B session, 5 stimuli"
2026-09-07T22:12:50,113,"A/B session, 5 stimuli"
2026-09-07T22:21:05,114,"A/B session, 7 stimuli"
2026-09-07T22:26:01,115,"A/B session, 3 stimuli"
2026-09-09T14:16:14,116,"A/B session, 6 stimuli"
2026-09-09T14:48:10,117,"A/B session, 5 stimuli"
2026-09-09T14:50:33,118,"A/B session, 5 stimuli"
2026-09-09T14:52:46,119,"A/B session, 5 stimuli"
2026-09-09T14:54:22,120,"A/B session, 5 stimuli"
2026-09-10T11:21:56,121,"A/B session, 5 stimuli"
2026-09-10T12:09:36,123,"A/B session, 5 stimuli"
2026-09-10T12:23:23,124,"A/B session, 5 stimuli"
2026-09-10T12:27:24,125,"A/B session, 5 stimuli"
2026-09-10T12:29:18,126,"A/B session, 5 stimuli"
2026-09-22T10:41:07,127,"A/B session, 6 stimuli"
2026-09-22T11:50:28,128,"A/B session, 6 stimuli"
